"RelativePath","Role","ActiveStatus","MustUse","MustNotUse","Reason","LastValidatedPhase","Notes"
"RUN_ModuleC_Pipeline_OSGeo4W.cmd","ACTIVE_WRAPPER","ACTIVE","YES","NO","Wrapper canonico unico para runtime ModuleC v2","B4.1-CANON","Deriva rutas desde SCRIPT_DIR y fuerza env OSGeo4W canonico"
"moduleC_pipeline_v2.py","ACTIVE_RUNNER","ACTIVE","YES","NO","Runner efectivo auditado en B3.4/B4.1","B4.1-CANON","Parche solo ENV_BOOTSTRAP_ONLY/PATH_CANON_FIX"
"run_preflight_bootstrap.py","ACTIVE_PREFLIGHT","ACTIVE","YES","NO","Preflight canonico previo a runtime","B3.4","No ejecutar runtime completo en esta fase"
"qa_gate_v2.py","ACTIVE_QA_GATE","ACTIVE","YES","NO","Gate QA posterior al runtime","B3.4","Lectura/verificacion de outputs canonicos"
"bootstrap_moduleC.py","ACTIVE_BOOTSTRAP","AUX_ACTIVE","CONDITIONAL","NO","Soporte bootstrap si gate lo invoca","B4.1-CANON","No es wrapper principal de ejecucion final"
"RUN_QGIS\run_qgis_step2.ps1","ACTIVE_QGIS_STEP","ACTIVE","YES","NO","Step2 reconstruccion NUTS3","B3.4","Depende de outputs ModuleC base"
"RUN_QGIS\run_qgis_step3.ps1","ACTIVE_QGIS_STEP","ACTIVE","YES","NO","Step3 discovery/export","B3.4","Depende de Step2"
"RUN_QGIS\run_qgis_step5_municipios.ps1","ACTIVE_QGIS_STEP","ACTIVE","YES","NO","Step5 CAOP/municipios","B3.4","Depende de Step3"
"RUN_QGIS\STEP7_MATRIZ_CAUSAL\run_step7_matriz_causal.ps1","ACTIVE_QGIS_STEP","ACTIVE","YES","NO","Step7 matriz causal","B3.4","Depende de outputs previos"
"RUN_QGIS\STEP8_BRIEF_PACK\run_step8_brief_pack.ps1","ACTIVE_QGIS_STEP","ACTIVE","YES","NO","Step8 brief pack","B3.4","Depende de Step7"
"RUN_QGIS\STEP9_FINAL_MASTER_PACK\run_step9_final_master_pack.ps1","ACTIVE_QGIS_STEP","ACTIVE","YES","NO","Step9 pack final","B3.4","No usar deliverables historico backup como cierre"
"run_pipeline_v2.cmd","ACTIVE_AUXILIARY","AUXILIARY","NO","PREFERRED","Entrada auxiliar heredada","B3.2","Preferir wrapper canónico RUN_ModuleC_Pipeline_OSGeo4W.cmd"
"run_pipeline_v2.ps1","ACTIVE_AUXILIARY","AUXILIARY","NO","PREFERRED","Entrada auxiliar heredada","B3.2","Preferir wrapper canónico"
"moduleC_pipeline.py","DO_NOT_USE","LEGACY","NO","YES","Runner legacy v1","B3.2","No es runner efectivo"
"run_pipeline_debug.py","DO_NOT_USE","LEGACY","NO","YES","Debug legacy no canónico","B3.2","No usar como runner activo"
"RUN_ModuleC_Pipeline_OSGeo4W.legacy.cmd","HISTORICAL_ONLY","HISTORICAL","NO","YES","Wrapper legacy","B3.2","Conservar solo evidencia"
"RUN_ModuleC_Pipeline_OSGeo4W.BACKUP_20260120_234107.cmd","HISTORICAL_ONLY","HISTORICAL","NO","YES","Backup wrapper","B3.2","No usar en ejecución"
"RUN_ModuleC_Pipeline_OSGeo4W__BACKUP_20260121_201526.cmd","HISTORICAL_ONLY","HISTORICAL","NO","YES","Backup wrapper","B3.2","No usar en ejecución"
"RUN_ModuleC_Pipeline_OSGeo4W__BACKUP_20260121_203501.cmd","HISTORICAL_ONLY","HISTORICAL","NO","YES","Backup wrapper","B3.2","No usar en ejecución"
"__PIPELINE_MANIFEST.csv","STALE_MANIFEST","HISTORICAL","NO","YES_AS_RUNTIME_TRUTH","Manifest histórico desalineado","B3.2","Usar manifests frescos en CONTROL_ROOT"
"__PIPELINE_TOKEN_SCAN.csv","STALE_MANIFEST","HISTORICAL","NO","YES_AS_RUNTIME_TRUTH","Token scan histórico desalineado","B3.2","Usar token scan fresco externo"
"03_outputs\","DO_NOT_USE","AUX_OUTPUT_NON_CANON","NO","YES","No es OUTPUT_ROOT final","B3.2","Solo evidencia auxiliar interna pipeline"
"_archive_obsolete_20260115_0123\","HISTORICAL_ONLY","ARCHIVE","NO","YES","Archivo obsoleto","B3.1","Forensic/historical only"
"[CONTROL_ROOT]\B3_2_runtime_manifest_fresh.csv","ACTIVE_AUXILIARY","EXTERNAL_FRESH_MANIFEST","YES_FOR_AUDIT","NO","Manifest fresco runtime-truth externo","B3.2/B4.1","Fuente de auditoría vigente"
"[CONTROL_ROOT]\B3_2_runtime_token_scan_fresh.csv","ACTIVE_AUXILIARY","EXTERNAL_FRESH_MANIFEST","YES_FOR_AUDIT","NO","Token scan fresco externo","B3.2/B4.1","Reemplaza token scan histórico del pipeline"
