"Root","FilePath","LineNumber","Match","Classification","Reason","Line"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\apply_restore_selective.ps1","51","03_outputs__BACKUP","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","$dst = $src -replace ""\\03_outputs__BACKUP_20260121_235500\\"", ""\03_outputs\"""
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\b34_gate.ps1","310","HOST_ROOT;HOST_ROOT","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","[pscustomobject]@{Check=""No HOST_ROOT active""; Status=(-not ($wrapperText -match '(?im)^\s*set\s+\""HOST_ROOT=')); Detail=""legacy root removed""},"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\b34_gate.ps1","317","03_outputs__BACKUP","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","[pscustomobject]@{Check=""No backup source active""; Status=(-not ($wrapperText -match '03_outputs__BACKUP')); Detail=""no backup source""},"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\b34_gate.ps1","318","deliverables_step9","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","[pscustomobject]@{Check=""No historical deliverables closure""; Status=(-not ($wrapperText -match 'deliverables_step9')); Detail=""no historical closure""}"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\b34_gate.ps1","426","03_outputs__BACKUP","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","""03_outputs__BACKUP_20260121_235500"","
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\b34_gate.ps1","427","_qa_catalogs\moduleC_local_pipeline\03_outputs","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","""_qa_catalogs\moduleC_local_pipeline\03_outputs"","
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\b34_gate.ps1","428","Module C\Datos\03_outputs","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","""Module C\Datos\03_outputs"""
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\b34_gate.ps1","478","HOST_ROOT","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","""HOST_ROOT=D:\\Mestrado\\GATA_2025_2026"","
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\b34_gate.ps1","479","run_pipeline_debug_v5.py","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","""run_pipeline_debug_v5.py"","
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\b34_gate.ps1","480","03_outputs__BACKUP","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","""03_outputs__BACKUP_20260121_235500"","
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\b34_gate.ps1","483","Complementariedad de analisi_sin base de datos","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","""Complementariedad de analisi_sin base de datos"","
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\b34_gate.ps1","484","deliverables_step9","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","""deliverables_step9"","
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\b34_gate.ps1","504","HOST_ROOT;03_outputs__BACKUP","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","} elseif ($pat -in @(""HOST_ROOT=D:\\Mestrado\\GATA_2025_2026"", ""03_outputs__BACKUP_20260121_235500"", ""Module C\\Datos\\03_outputs"")) {"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\b34_gate.ps1","506","run_pipeline_debug_v5.py;Complementariedad de analisi_sin base de datos","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","} elseif ($pat -in @(""run_pipeline_debug_v5.py"", ""Complementariedad de analisi_sin base de datos"")) {"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\b34_gate.ps1","540","deliverables_step9","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","[pscustomobject]@{Riesgo=""deliverables_step9 histórico"";Estado=""Controlled"";Evidencia=""B3_4_script_reference_scan.csv"";Mitigacion=""no usar como baseline"";""Bloquea B4""=""No""},"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\b34_gate.ps1","596","deliverables_step9","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","""9. Validar deliverables_step9 generado por runtime (no historico)."","
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\build_iso_inventory.ps1","149","Complementariedad de analisi_sin base de datos;Complementariedad de analisi_sin base de datos","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","@{ RootBucket = ""Complementariedad de analisi_sin base de datos""; Path = (Join-Path $GataRoot ""Complementariedad de analisi_sin base de datos"") },"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\build_iso_inventory.ps1","58","03_outputs__BACKUP","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","elseif ($FullName -match ""\\Complementariedad de analisis\\Module C\\03_outputs__BACKUP_"") {"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\build_iso_inventory.ps1","82","Complementariedad de analisi_sin base de datos","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","elseif ($FullName -match ""\\Complementariedad de analisi_sin base de datos(\\|$)"") {"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\classify_iso_roles.ps1","132","03_outputs__BACKUP","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","if ($d.FullName -match ""03_outputs__BACKUP_20260121_235500"") {"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\compare_outputs_canon_vs_backup.ps1","16","03_outputs__BACKUP","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","$backupRoot = Join-Path $GataRoot ""Complementariedad de analisis\Module C\03_outputs__BACKUP_20260121_235500"""
