"Pattern","Path","LineNumber","Line"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\bootstrap_moduleC.py","2","# Arranca moduleC_pipeline.py con PyQGIS headless + sys.path plugins (Processing)"
"Incendios_Nueva version","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\bootstrap_moduleC.py","11","INC_NEW = r""D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Incendios_Nueva version"""
"OSGEO4W_ROOT","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\bootstrap_moduleC.py","14","OSGEO4W_ROOT = os.environ.get(""OSGEO4W_ROOT"", r""C:\Users\X412\AppData\Local\Programs\OSGeo4W"")"
"OSGEO4W_ROOT","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\bootstrap_moduleC.py","15","QGIS_APP = os.path.join(OSGEO4W_ROOT, ""apps"", ""qgis"")"
"QGIS_PREFIX_PATH","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\bootstrap_moduleC.py","18","os.environ.setdefault(""QGIS_PREFIX_PATH"", QGIS_APP)"
"QGIS_PREFIX_PATH","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\bootstrap_moduleC.py","27","print(""  QGIS_PREFIX_PATH ="", os.environ.get(""QGIS_PREFIX_PATH""))"
"--gata-root","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\bootstrap_moduleC.py","33","    ""--gata-root"", GATA_ROOT,"
"--modulec-datos","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\bootstrap_moduleC.py","34","    ""--modulec-datos"", MODULEC_DATOS,"
"--inc-new","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\bootstrap_moduleC.py","35","    ""--inc-new"", INC_NEW,"
"Incendios_Nueva version","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline (1)_original.py","8","- INC_NEW = ...\Incendios_Nueva version"
