"ComponentType","Name","Path","Exists","RuntimeRole","Classification","Notes"
"WRAPPER","RUN_ModuleC_Pipeline_OSGeo4W.cmd","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\RUN_ModuleC_Pipeline_OSGeo4W.cmd","True","ACTIVE_ENTRY","CANON_RUNTIME","Wrapper unico activo derivado por SCRIPT_DIR."
"RUNNER","moduleC_pipeline_v2.py","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_v2.py","True","ACTIVE_RUNNER","CANON_RUNTIME","Runner efectivo."
"BOOTSTRAP","bootstrap_moduleC.py","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\bootstrap_moduleC.py","True","BOOTSTRAP","CANON_RUNTIME",""
"BOOTSTRAP","run_preflight_bootstrap.py","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\run_preflight_bootstrap.py","True","PREFLIGHT","CANON_RUNTIME",""
"QA","qa_gate_v2.py","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\qa_gate_v2.py","True","QA_GATE","CANON_RUNTIME",""
"RUN_QGIS","RUN_QGIS\qgis_step2_rebuild_nuts3_pt.py","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\RUN_QGIS\qgis_step2_rebuild_nuts3_pt.py","True","STEP_SCRIPT","CANON_RUNTIME",""
"RUN_QGIS","RUN_QGIS\run_qgis_step2.ps1","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\RUN_QGIS\run_qgis_step2.ps1","True","STEP_SCRIPT","CANON_RUNTIME",""
"RUN_QGIS","RUN_QGIS\qgis_step3_discover_muni_and_export.py","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\RUN_QGIS\qgis_step3_discover_muni_and_export.py","True","STEP_SCRIPT","CANON_RUNTIME",""
"RUN_QGIS","RUN_QGIS\run_qgis_step3.ps1","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\RUN_QGIS\run_qgis_step3.ps1","True","STEP_SCRIPT","CANON_RUNTIME",""
"RUN_QGIS","RUN_QGIS\qgis_step5_municipios_caop.py","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\RUN_QGIS\qgis_step5_municipios_caop.py","True","STEP_SCRIPT","CANON_RUNTIME",""
"RUN_QGIS","RUN_QGIS\run_qgis_step5_municipios.ps1","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\RUN_QGIS\run_qgis_step5_municipios.ps1","True","STEP_SCRIPT","CANON_RUNTIME",""
"RUN_QGIS","RUN_QGIS\STEP7_MATRIZ_CAUSAL\step7_matriz_causal.py","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\RUN_QGIS\STEP7_MATRIZ_CAUSAL\step7_matriz_causal.py","True","STEP_SCRIPT","CANON_RUNTIME",""
"RUN_QGIS","RUN_QGIS\STEP7_MATRIZ_CAUSAL\run_step7_matriz_causal.ps1","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\RUN_QGIS\STEP7_MATRIZ_CAUSAL\run_step7_matriz_causal.ps1","True","STEP_SCRIPT","CANON_RUNTIME",""
"RUN_QGIS","RUN_QGIS\STEP8_BRIEF_PACK\run_step8_brief_pack.ps1","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\RUN_QGIS\STEP8_BRIEF_PACK\run_step8_brief_pack.ps1","True","STEP_SCRIPT","CANON_RUNTIME",""
"RUN_QGIS","RUN_QGIS\STEP9_FINAL_MASTER_PACK\run_step9_final_master_pack.ps1","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\RUN_QGIS\STEP9_FINAL_MASTER_PACK\run_step9_final_master_pack.ps1","True","STEP_SCRIPT","CANON_RUNTIME",""
"PATH_EXPECTED","OUTPUT_ROOT","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\03_outputs","True","WRITE_TARGET","CANON_RUNTIME","Output final esperado."
