"FilePath","LineNumber","Pattern","MatchText","Classification","IsActiveRef"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\apply_quarantine.ps1","16","LEGACY_EXTERNAL_ROOT","$QuarantineRoot = ""D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_quarantine\ISO_GATA_$ts""","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\apply_restore_selective.ps1","51","BACKUP_OUTPUT","$dst = $src -replace ""\\03_outputs__BACKUP_20260121_235500\\"", ""\03_outputs\""","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\build_iso_inventory.ps1","82","SIN_BD_SOURCE","elseif ($FullName -match ""\\Complementariedad de analisi_sin base de datos(\\|$)"") {","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\build_iso_inventory.ps1","149","SIN_BD_SOURCE","@{ RootBucket = ""Complementariedad de analisi_sin base de datos""; Path = (Join-Path $GataRoot ""Complementariedad de analisi_sin base de datos"") },","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\classify_iso_roles.ps1","132","BACKUP_OUTPUT","if ($d.FullName -match ""03_outputs__BACKUP_20260121_235500"") {","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\compare_outputs_canon_vs_backup.ps1","16","BACKUP_OUTPUT","$backupRoot = Join-Path $GataRoot ""Complementariedad de analisis\Module C\03_outputs__BACKUP_20260121_235500""","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\fix_b3_1_outputs.ps1","2","LEGACY_EXTERNAL_ROOT","[string]$RepoRoot = ""D:\Mestrado\GATA_2025_2026\Prueba_aislada"",","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\fix_b3_1_outputs.ps1","3","LEGACY_EXTERNAL_ROOT","[string]$ControlRoot = ""D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808""","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\fix_b3_1_outputs.ps1","73","RUNNER_V5","Add-Row ""No runners legacy activos"" ""Sin ejecucion via v5"" (""runner={0}"" -f $runner) ""B3_1_active_pipeline_contract.md"" ""HIGH"" ($runner -eq ""run_pipeline_debug_v5.py"") ($(if ($runner -ne ""run_pipeline_debug_v5.py"") { ""PASS"" } else { ""HOLD"" }))","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\generate_quarantine_plan.ps1","38","SIN_BD_SOURCE","if ($full -match ""\\Complementariedad de analisi_sin base de datos\\Module C sin base de datos\\03_outputs\\"") {","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\generate_quarantine_plan.ps1","66","RUNNER_V5","$rationale = ""Puede contener referencias históricas (ej. run_pipeline_debug_v5.py).""","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b2_audit.py","10","LEGACY_EXTERNAL_ROOT","control = Path(r""D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808"")","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b2_audit.py","14","BACKUP_OUTPUT","backup_root = modulec_root / ""03_outputs__BACKUP_20260121_235500""","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b2_audit.py","645","LEGACY_EXTERNAL_ROOT","(r""D:\Mestrado\GATA_2025_2026\Complementariedad de analisis\Module C\Datos"", str(datos_root)),","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b2_audit.py","646","LEGACY_EXTERNAL_ROOT","(r""D:\Mestrado\GATA_2025_2026\Complementariedad de análisis\Module C\Datos"", str(datos_root)),","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b2_audit.py","647","LEGACY_EXTERNAL_ROOT","(r""D:\Mestrado\GATA_2025_2026\Complementariedad de anÃ¡lisis\Module C\Datos"", str(datos_root)),","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b2_audit.py","648","LEGACY_EXTERNAL_ROOT","(r""D:\Mestrado\GATA_2025_2026\Incendios_Nueva version"", str(inc_root)),","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b2_audit.py","688","FINAL_MANIFEST_HIST","""final_manifest.json"": (backup_deliver / ""final_manifest.json"").exists(),","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b2_audit.py","689","FINAL_SHA_HIST","""final_sha256_checkpoints.txt"": (backup_deliver / ""final_sha256_checkpoints.txt"").exists(),","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b2_audit.py","762","FINAL_SHA_HIST","f""Existe en backup; final_manifest={deliv_has['final_manifest.json']}; final_sha256={deliv_has['final_sha256_checkpoints.txt']}; zip={deliv_has['final_zip']}"",","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b2_audit.py","762","FINAL_MANIFEST_HIST","f""Existe en backup; final_manifest={deliv_has['final_manifest.json']}; final_sha256={deliv_has['final_sha256_checkpoints.txt']}; zip={deliv_has['final_zip']}"",","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b2_audit.py","808","FINAL_SHA_HIST","md_next.append(""   - `qa/run_log.txt`, `qa/QA_checks.csv`, `deliverables_step9/final_manifest.json`, `deliverables_step9/final_sha256_checkpoints.txt`."")","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b2_audit.py","808","FINAL_MANIFEST_HIST","md_next.append(""   - `qa/run_log.txt`, `qa/QA_checks.csv`, `deliverables_step9/final_manifest.json`, `deliverables_step9/final_sha256_checkpoints.txt`."")","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","2","LEGACY_EXTERNAL_ROOT","[string]$RepoRoot = ""D:\Mestrado\GATA_2025_2026\Prueba_aislada"",","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","3","LEGACY_EXTERNAL_ROOT","[string]$ControlRoot = ""D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808""","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","86","SIN_BD_SOURCE","@{ RootBucket = ""Complementariedad de analisi_sin base de datos""; Path = (Join-Path $gataRoot ""Complementariedad de analisi_sin base de datos"") },","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","200","BACKUP_OUTPUT","- `$modulecRoot\03_outputs__BACKUP_20260121_235500`","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","215","FINAL_MANIFEST_HIST","- `final_manifest.json`","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","216","FINAL_SHA_HIST","- `final_sha256_checkpoints.txt`","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","230","RUNNER_V5","$runnerV5 = Join-Path $pipelineRoot ""run_pipeline_debug_v5.py""","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","235","RUNNER_V5","foreach ($k in @(""moduleC_pipeline_v2.py"", ""moduleC_pipeline.py"", ""run_pipeline_debug.py"", ""run_pipeline_debug_v5.py"", ""qa_gate_v2.py"")) {","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","303","RUNNER_V5","- `run_pipeline_debug_v5.py` en `_archive_obsolete_20260115_0123`.","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","335","RUNNER_V5","@{ Key = ""RUNNER_V5""; Type = ""Simple""; Value = ""run_pipeline_debug_v5.py"" },","CONTROL_SCRIPT_REFERENCE","False"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","336","BACKUP_OUTPUT","@{ Key = ""BACKUP_OUTPUT""; Type = ""Simple""; Value = ""03_outputs__BACKUP_20260121_235500"" },","CONTROL_SCRIPT_REFERENCE","False"
