archive_path	archive_size_bytes	archive_member_count_total	member_index	member_name	member_extension	member_size_bytes	years_in_member_name	member_relevance_guess
D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ERA5_d016a6f04c5e420341cf0e7293fcfb56.zip	33759612	1	0	data.grib	.grib	37422720		RELEVANT
D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2017.zip	294156	23	0	E1a/SPO-PT03071_06001_100.parquet	.parquet	109502		RELEVANT
D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2017.zip	294156	23	1	E1a/SPO-PT04003_06001_100.parquet	.parquet	102861		RELEVANT
D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2017.zip	294156	23	2	E1a/SPO-PT03102_06001_100.parquet	.parquet	104257		RELEVANT
D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2017.zip	294156	23	3	E1a/SPO-PT06005_06001_100.parquet	.parquet	100622		RELEVANT
D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2017.zip	294156	23	4	E1a/SPO-PT04001_06001_100.parquet	.parquet	97415		RELEVANT
D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2017.zip	294156	23	5	E1a/SPO-PT04006_06001_100.parquet	.parquet	110835		RELEVANT
D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2017.zip	294156	23	6	E1a/SPO-PT03083_06001_100.parquet	.parquet	118848		RELEVANT
D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2017.zip	294156	23	7	E1a/SPO-PT01044_06001_100.parquet	.parquet	2728		RELEVANT
D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2017.zip	294156	23	8	E1a/SPO-PT04004_06001_100.parquet	.parquet	95483		RELEVANT
D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2017.zip	294156	23	9	E1a/SPO-PT06004_06001_100.parquet	.parquet	110083		RELEVANT
D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2017.zip	294156	23	10	E1a/SPO-PT01048_06001_100.parquet	.parquet	2728		RELEVANT
D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2017.zip	294156	23	11	E1a/SPO-PT03089_06001_100.parquet	.parquet	115050		RELEVANT
D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2017.zip	294156	23	12	E1a/SPO-PT03072_06001_100.parquet	.parquet	2728		RELEVANT
D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2017.zip	294156	23	13	E1a/SPO-PT01050_06001_100.parquet	.parquet	2728		RELEVANT
D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2017.zip	294156	23	14	E1a/SPO-PT02019_06001_100.parquet	.parquet	95431		RELEVANT
D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2017.zip	294156	23	15	E1a/SPO-PT02020_06001_100.parquet	.parquet	98634		RELEVANT
D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2017.zip	294156	23	16	E1a/SPO-PT06008_06001_100.parquet	.parquet	2728		RELEVANT
D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2017.zip	294156	23	17	E1a/SPO-PT05007_06001_100.parquet	.parquet	106885		RELEVANT
D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2017.zip	294156	23	18	E1a/SPO-PT05012_06001_100.parquet	.parquet	104804		RELEVANT
D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2017.zip	294156	23	19	E1a/SPO-PT07001_06001_100.parquet	.parquet	106777		RELEVANT
D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2017.zip	294156	23	20	E1a/SPO-PT03099_06001_100.parquet	.parquet	108419		RELEVANT
D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2017.zip	294156	23	21	E1a/SPO-PT03096_06001_100.parquet	.parquet	104569		RELEVANT
D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2017.zip	294156	23	22	E1a/SPO-PT02004_06001_100.parquet	.parquet	97796		RELEVANT
