year	runtime_message_inventory_rows	runtime_message_inventory_statuses	runtime_gfas_daily_summary_rows	runtime_score_daily_rows	runtime_score_daily_unit_count	runtime_annual_smoke_rows	runtime_annual_smoke_unique_values	runtime_annual_smoke_min	runtime_annual_smoke_max	runtime_annual_methods	runtime_route_methods
2015	0		0	0	0	26	4	0.0	136.7923213591027	gfas_pm2p5fire_extrapolated_from_anchors,gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors	gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors
2016	0		0	0	0	26	4	0.0	119.11696601307753	gfas_pm2p5fire_extrapolated_from_anchors,gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors	gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors
2017	1	PASS	1	26	26	26	4	0.0	101.44161066705237	gfas_pm2p5fire_gdal_message1_negative_lon_proxy,gfas_pm2p5fire_gdal_unit_direct_year	gfas_pm2p5fire_gdal_unit_direct_year
2018	0		0	0	0	26	4	0.0	83.76625532102722	gfas_pm2p5fire_gdal_unit_interpolated_from_anchors,gfas_pm2p5fire_interpolated_from_anchors	gfas_pm2p5fire_gdal_unit_interpolated_from_anchors
2019	0		0	0	0	26	4	0.0	66.09089997500206	gfas_pm2p5fire_gdal_unit_interpolated_from_anchors,gfas_pm2p5fire_interpolated_from_anchors	gfas_pm2p5fire_gdal_unit_interpolated_from_anchors
2020	0		0	0	0	26	4	0.0	48.4155446289769	gfas_pm2p5fire_gdal_unit_interpolated_from_anchors,gfas_pm2p5fire_interpolated_from_anchors	gfas_pm2p5fire_gdal_unit_interpolated_from_anchors
2021	0		0	0	0	26	4	0.0	30.740189282951746	gfas_pm2p5fire_gdal_unit_interpolated_from_anchors,gfas_pm2p5fire_interpolated_from_anchors	gfas_pm2p5fire_gdal_unit_interpolated_from_anchors
2022	1	PASS	1	26	26	26	2	0.0	13.06483393692659	gfas_pm2p5fire_gdal_message1_negative_lon_proxy,gfas_pm2p5fire_gdal_unit_direct_year	gfas_pm2p5fire_gdal_unit_direct_year
2023	0		0	0	0	26	1	0.0	0.0	gfas_pm2p5fire_extrapolated_from_anchors,gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors	gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors
2024	0		0	0	0	26	1	0.0	0.0	gfas_pm2p5fire_extrapolated_from_anchors,gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors	gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors
