"artifact"	"exists"	"bytes"	"rows"	"columns"	"first_columns"	"path"
"qa\inputs_resolved.json"	"YES"	"5400"	"0"	"0"	""	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"
"qa\run_log.txt"	"YES"	"2410"	"0"	"0"	""	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\run_log.txt"
"qa\preflight_report.txt"	"YES"	"4156"	"0"	"0"	""	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\preflight_report.txt"
"qa\objectives_canon_alignment_report.tsv"	"YES"	"6317"	"12"	"9"	"objective_id,objective_name,required_database,required_output,producer_script,validation_rule,status,evidence_path,failure_reason"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\objectives_canon_alignment_report.tsv"
"qa\objectives_canon_alignment_report.md"	"YES"	"3437"	"0"	"0"	""	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\objectives_canon_alignment_report.md"
"qa\scientific_validation_gate.tsv"	"YES"	"5030"	"8"	"12"	"threshold_id,component,input_file_checked,variable_checked,observed_condition,threshold_value_or_rule,threshold_source_id,source_type,gate_status,allowed_claim,forbidden_claim,final_decision_effect"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\scientific_validation_gate.tsv"
"qa\scientific_threshold_evidence_register.tsv"	"YES"	"2347"	"8"	"6"	"evidence_id,path,exists,bytes,sha256,rows"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\scientific_threshold_evidence_register.tsv"
"qa\blocked_claims_register.tsv"	"YES"	"137"	"1"	"6"	"claim_context,gate_status,matched_phrase_pattern,source_file,location,recommended_rewrite"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\blocked_claims_register.tsv"
"tables\smoke_days_unit_2015_2024.csv"	"YES"	"18134"	"260"	"7"	"unit_id,year,smoke_days,smoke_score_mean,smoke_score_p80,smoke_method,smoke_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"tables\smoke_days_nuts3_annual_2015_2024.csv"	"YES"	"18134"	"260"	"7"	"unit_id,year,smoke_days,smoke_score_mean,smoke_score_p80,smoke_method,smoke_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"
"tables\recurrence_unit_2015_2024.csv"	"YES"	"1980"	"26"	"8"	"unit_id,total_burn_ha_2015_2024,years_area_gt_p75,n_events_gt_1000ha,recurrence_class,forest_proxy_ha_2015_2024,shrubland_proxy_ha_2015_2024,recurrence_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\recurrence_unit_2015_2024.csv"
"tables\pop_unit_2015_2025_2030.csv"	"YES"	"2247"	"26"	"6"	"unit_id,pop_2015_sum,pop_2020_sum,pop_2025_sum,pop_2030_sum,pop_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\pop_unit_2015_2025_2030.csv"
"tables\IECH_unit_2015_2024.csv"	"YES"	"26367"	"260"	"8"	"unit_id,year,smoke_days,smoke_hours_equiv,pop,expo_person_hours,IECH,method_flags"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\IECH_unit_2015_2024.csv"
"tables\IECH_municipio_2015_2024.csv"	"YES"	"405626"	"2780"	"8"	"unit_id,year,smoke_days,smoke_hours_equiv,pop,expo_person_hours,IECH,method_flags"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\IECH_municipio_2015_2024.csv"
"tables\IECH_scenarios_2026_2030.csv"	"YES"	"33269"	"260"	"10"	"unit_id,year,scenario,smoke_days,smoke_hours_equiv,pop,expo_person_hours,IECH,delta_vs_S0,method_flags"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\IECH_scenarios_2026_2030.csv"
