"key"	"value"
"decision"	"NO_GO_CONFIRMED_BY_READONLY_AUDIT"
"classification"	"SCIENTIFIC_BLOCK_COHERENT_WITH_SMOKE_HOMOGENEITY_AND_CAUSAL_CLAIM_BLOCK"
"oc09_matrix_present"	"YES"
"oc09_nuts3_rows"	"26"
"oc09_all_hold"	"YES"
"oc09_has_smoke_route_blocked"	"YES"
"oc09_has_causal_claim_blocked"	"YES"
"oc09_has_missing_components"	"YES"
"scientific_nogo_present"	"YES"
"spatial_smoke_blocked_present"	"YES"
"health_exposure_blocked_present"	"YES"
"population_exposure_blocked_present"	"YES"
"causal_claim_blocked_present"	"YES"
"smoke_route_blocked_in_gates"	"NO"
"smoke_table_present"	"YES"
"smoke_homogeneous_suspect"	"YES"
"name_mismatch_suspect"	"NO"
"portuguese_anchor_trace_present"	"NO"
