"key"	"value"
"paths.municipios_caop"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\01_std\admin\municipios\ADMIN_CAOP__DGT__CAOP_MUNI__PT_CONT__2024__epsgUNK__v1.zip"
"paths.smoke_csv"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2022.zip"
"paths.ghsl_pop.2015"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\01_std\ghsl\pop\GHSL_POP__GHSL__POP__GLOBE__2015__epsg4326__v1.zip"
"paths.ghsl_pop.2020"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\01_std\ghsl\pop\GHSL_POP__GHSL__POP__GLOBE__2020__epsg4326__v1.zip"
"paths.ghsl_pop.2025"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\01_std\ghsl\pop\GHSL_POP__GHSL__POP__GLOBE__2025__epsg4326__v1.zip"
"paths.ghsl_pop.2030"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\01_std\ghsl\pop\GHSL_POP__GHSL__POP__GLOBE__2030__epsg4326__v1.zip"
"paths.smoke_gfas_dir"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\CAM-GFAS (ADS)"
"paths.smoke_era5_zip"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ERA5_d016a6f04c5e420341cf0e7293fcfb56.zip"
"meta.smoke_route_mode"	"v0_gfas_era5_real"
"meta.smoke_route_selected"	"v0_gfas_era5_real"
"meta.smoke_route_status"	"SCIENTIFIC_PRIMARY_REAL"
"meta.smoke_route_decision"	"THRESHOLD_DEFINED_AS_INDEXED_METHOD"
"meta.iech_decision"	"IECH_ROUTE_REAL_SMOKE"
"meta.smoke_route_reason"	"GFAS + ERA5 detected and decoder is available."
"meta.smoke_route_operational_fallback"	""
"meta.smoke_route_allowed_use"	"scientific_route"
"meta.smoke_route_forbidden_use"	""
"meta.smoke_route_detected_sources.modulea_validated"	"False"
"meta.smoke_route_detected_sources.modulea_catalog_path"	""
"meta.smoke_route_detected_sources.gfas_dir"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\CAM-GFAS (ADS)"
"meta.smoke_route_detected_sources.gfas_grib_count"	"11"
"meta.smoke_route_detected_sources.gfas_total_bytes"	"151295670396"
"meta.smoke_route_detected_sources.era5_zip"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ERA5_d016a6f04c5e420341cf0e7293fcfb56.zip"
"meta.smoke_route_detected_sources.era5_exists"	"True"
"meta.smoke_route_detected_sources.parquet_zip_count"	"2"
"meta.smoke_route_detected_sources.parquet_zip_paths[0].Length"	"133"
"meta.smoke_route_detected_sources.parquet_zip_paths[1].Length"	"133"
