"key"	"value"
"Decision"	"HOLD_OR_NO_GO_SMOKE_DATA_GAP_NOT_FULLY_CLOSED_BY_METADATA"
"Classification"	"OUTPUT_2023_2024_ALL_ZERO_WITH_NO_SAFE_GFAS_YEAR_TOKENS"
"Output2023AllZero"	"True"
"Output2024AllZero"	"True"
"OutputParseFailed"	"False"
"SmokeSignature"	"ZIP_OR_PARQUET_CONTAINER"
"SmokeContainerTerritorialEntries"	"0"
"SmokeContainerSmokeEntries"	"25"
"GfasFilesCount"	"11"
"GfasSafeScanHas2023Token"	"False"
"GfasSafeScanHas2024Token"	"False"
"ScientificNoGo"	"True"
"Oc09SmokeBlocked"	"True"
"Oc09CausalBlocked"	"True"
