"source"	"entry"	"bytes"	"year_token"	"extension"	"looks_like_territorial"	"looks_like_smoke"
"smoke_container"	"E1a/SPO-PT03071_06001_100.parquet"	"113609"	""	".parquet"	"NO"	"YES"
"smoke_container"	"E1a/SPO-PT04003_06001_100.parquet"	"95968"	""	".parquet"	"NO"	"YES"
"smoke_container"	"E1a/SPO-PT03102_06001_100.parquet"	"102768"	""	".parquet"	"NO"	"YES"
"smoke_container"	"E1a/SPO-PT06005_06001_100.parquet"	"111972"	""	".parquet"	"NO"	"YES"
"smoke_container"	"E1a/SPO-PT04001_06001_100.parquet"	"98170"	""	".parquet"	"NO"	"YES"
"smoke_container"	"E1a/SPO-PT03063_06001_100.parquet"	"2728"	""	".parquet"	"NO"	"YES"
"smoke_container"	"E1a/SPO-PT04006_06001_100.parquet"	"108979"	""	".parquet"	"NO"	"YES"
"smoke_container"	"E1a/SPO-PT03083_06001_100.parquet"	"111650"	""	".parquet"	"NO"	"YES"
"smoke_container"	"E1a/SPO-PT01044_06001_100.parquet"	"71198"	""	".parquet"	"NO"	"YES"
"smoke_container"	"E1a/SPO-PT04004_06001_100.parquet"	"98039"	""	".parquet"	"NO"	"YES"
"smoke_container"	"E1a/SPO-PT06004_06001_100.parquet"	"112539"	""	".parquet"	"NO"	"YES"
"smoke_container"	"E1a/SPO-PT01048_06001_100.parquet"	"71542"	""	".parquet"	"NO"	"YES"
"smoke_container"	"E1a/SPO-PT03089_06001_100.parquet"	"114374"	""	".parquet"	"NO"	"YES"
"smoke_container"	"E1a/SPO-PT03072_06001_100.parquet"	"112470"	""	".parquet"	"NO"	"YES"
"smoke_container"	"E1a/SPO-PT01050_06001_100.parquet"	"82042"	""	".parquet"	"NO"	"YES"
"smoke_container"	"E1a/SPO-PT02019_06001_100.parquet"	"99801"	"2019"	".parquet"	"NO"	"YES"
"smoke_container"	"E1a/SPO-PT04002_06001_100.parquet"	"106327"	""	".parquet"	"NO"	"YES"
"smoke_container"	"E1a/SPO-PT02020_06001_100.parquet"	"103510"	"2020"	".parquet"	"NO"	"YES"
"smoke_container"	"E1a/SPO-PT06008_06001_100.parquet"	"2728"	""	".parquet"	"NO"	"YES"
"smoke_container"	"E1a/SPO-PT05007_06001_100.parquet"	"113565"	""	".parquet"	"NO"	"YES"
"smoke_container"	"E1a/SPO-PT05012_06001_100.parquet"	"105313"	""	".parquet"	"NO"	"YES"
"smoke_container"	"E1a/SPO-PT07001_06001_100.parquet"	"102765"	""	".parquet"	"NO"	"YES"
"smoke_container"	"E1a/SPO-PT03099_06001_100.parquet"	"108911"	""	".parquet"	"NO"	"YES"
"smoke_container"	"E1a/SPO-PT03096_06001_100.parquet"	"110472"	""	".parquet"	"NO"	"YES"
"smoke_container"	"E1a/SPO-PT02004_06001_100.parquet"	"104040"	""	".parquet"	"NO"	"YES"
"era5_zip"	"data.grib"	"37422720"	""	".grib"	"NO"	"YES"
