"key"	"value"
"paths.nuts3"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\01_std\admin\nuts3\ADMIN_NUTS__EUROSTAT__NUTS_LEVL3__PT__2024__epsg4326__v1.geojson"
"paths.municipios_caop"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\01_std\admin\municipios\ADMIN_CAOP__DGT__CAOP_MUNI__PT_CONT__2024__epsgUNK__v1.zip"
"paths.smoke_csv"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2022.zip"
"paths.ghsl_pop.2015"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\01_std\ghsl\pop\GHSL_POP__GHSL__POP__GLOBE__2015__epsg4326__v1.zip"
"paths.ghsl_pop.2020"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\01_std\ghsl\pop\GHSL_POP__GHSL__POP__GLOBE__2020__epsg4326__v1.zip"
"paths.ghsl_pop.2025"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\01_std\ghsl\pop\GHSL_POP__GHSL__POP__GLOBE__2025__epsg4326__v1.zip"
"paths.ghsl_pop.2030"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\01_std\ghsl\pop\GHSL_POP__GHSL__POP__GLOBE__2030__epsg4326__v1.zip"
"paths.fire_gpkgs_tm06[0]"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Incendios_Nueva version\WRB\outputs_qgis_WRB_overlay\ardida_2015_TM06.gpkg"
"paths.fire_gpkgs_tm06[1]"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Incendios_Nueva version\WRB\outputs_qgis_WRB_overlay\ardida_2016_TM06.gpkg"
"paths.fire_gpkgs_tm06[2]"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Incendios_Nueva version\WRB\outputs_qgis_WRB_overlay\ardida_2017_TM06.gpkg"
"paths.fire_gpkgs_tm06[3]"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Incendios_Nueva version\WRB\outputs_qgis_WRB_overlay\ardida_2018_TM06.gpkg"
"paths.fire_gpkgs_tm06[4]"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Incendios_Nueva version\WRB\outputs_qgis_WRB_overlay\ardida_2019_TM06.gpkg"
"paths.fire_gpkgs_tm06[5]"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Incendios_Nueva version\WRB\outputs_qgis_WRB_overlay\ardida_2020_TM06.gpkg"
"paths.fire_gpkgs_tm06[6]"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Incendios_Nueva version\WRB\outputs_qgis_WRB_overlay\ardida_2021_TM06.gpkg"
"paths.fire_gpkgs_tm06[7]"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Incendios_Nueva version\WRB\outputs_qgis_WRB_overlay\ardida_2022_TM06.gpkg"
"paths.fire_gpkgs_tm06[8]"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Incendios_Nueva version\WRB\outputs_qgis_WRB_overlay\ardida_2023_TM06.gpkg"
"paths.fire_gpkgs_tm06[9]"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Incendios_Nueva version\WRB\outputs_qgis_WRB_overlay\ardida_2024_TM06.gpkg"
"paths.wrb_mostprobable_tm06"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Incendios_Nueva version\WRB\outputs_qgis_WRB_overlay\WRB_MostProbable_TM06.tif"
"paths.smoke_gfas_dir"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\CAM-GFAS (ADS)"
"paths.smoke_era5_zip"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ERA5_d016a6f04c5e420341cf0e7293fcfb56.zip"
"meta.smoke_route_mode"	"v0_gfas_era5_real"
"meta.smoke_route_selected"	"v0_gfas_era5_real"
"meta.smoke_route_status"	"SCIENTIFIC_PRIMARY_REAL"
"meta.smoke_route_decision"	"THRESHOLD_DEFINED_AS_INDEXED_METHOD"
"meta.health_exposure_claim"	"BLOCKED_HEALTH_EXPOSURE_CLAIM"
"meta.iech_decision"	"IECH_ROUTE_REAL_SMOKE"
