"key"	"value"	"looks_like_path"	"exists"	"is_container"	"bytes"
"paths.municipios_caop"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\01_std\admin\municipios\ADMIN_CAOP__DGT__CAOP_MUNI__PT_CONT__2024__epsgUNK__v1.zip"	"YES"	"YES"	"NO"	"111598710"
"paths.smoke_csv"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2022.zip"	"YES"	"YES"	"NO"	"379220"
"paths.ghsl_pop.2015"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\01_std\ghsl\pop\GHSL_POP__GHSL__POP__GLOBE__2015__epsg4326__v1.zip"	"YES"	"YES"	"NO"	"12131035653"
"paths.ghsl_pop.2020"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\01_std\ghsl\pop\GHSL_POP__GHSL__POP__GLOBE__2020__epsg4326__v1.zip"	"YES"	"YES"	"NO"	"12554406149"
"paths.ghsl_pop.2025"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\01_std\ghsl\pop\GHSL_POP__GHSL__POP__GLOBE__2025__epsg4326__v1.zip"	"YES"	"YES"	"NO"	"12855350515"
"paths.ghsl_pop.2030"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\01_std\ghsl\pop\GHSL_POP__GHSL__POP__GLOBE__2030__epsg4326__v1.zip"	"YES"	"YES"	"NO"	"13197154179"
"paths.smoke_gfas_dir"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\CAM-GFAS (ADS)"	"YES"	"YES"	"YES"	"0"
"paths.smoke_era5_zip"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ERA5_d016a6f04c5e420341cf0e7293fcfb56.zip"	"YES"	"YES"	"NO"	"33759612"
"meta.smoke_route_mode"	"v0_gfas_era5_real"	"NO"	"NO"	"NO"	"0"
"meta.smoke_route_selected"	"v0_gfas_era5_real"	"NO"	"NO"	"NO"	"0"
"meta.smoke_route_status"	"SCIENTIFIC_PRIMARY_REAL"	"NO"	"NO"	"NO"	"0"
"meta.smoke_route_decision"	"THRESHOLD_DEFINED_AS_INDEXED_METHOD"	"NO"	"NO"	"NO"	"0"
"meta.iech_decision"	"IECH_ROUTE_REAL_SMOKE"	"NO"	"NO"	"NO"	"0"
"meta.smoke_route_reason"	"GFAS + ERA5 detected and decoder is available."	"NO"	"NO"	"NO"	"0"
"meta.smoke_route_operational_fallback"	""	"NO"	"NO"	"NO"	"0"
"meta.smoke_route_allowed_use"	"scientific_route"	"NO"	"NO"	"NO"	"0"
"meta.smoke_route_forbidden_use"	""	"NO"	"NO"	"NO"	"0"
"meta.smoke_route_detected_sources.modulea_validated"	"False"	"NO"	"NO"	"NO"	"0"
"meta.smoke_route_detected_sources.modulea_catalog_path"	""	"NO"	"NO"	"NO"	"0"
"meta.smoke_route_detected_sources.gfas_dir"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\CAM-GFAS (ADS)"	"YES"	"YES"	"YES"	"0"
"meta.smoke_route_detected_sources.gfas_grib_count"	"11"	"NO"	"NO"	"NO"	"0"
"meta.smoke_route_detected_sources.gfas_total_bytes"	"151295670396"	"NO"	"NO"	"NO"	"0"
"meta.smoke_route_detected_sources.era5_zip"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ERA5_d016a6f04c5e420341cf0e7293fcfb56.zip"	"YES"	"YES"	"NO"	"33759612"
"meta.smoke_route_detected_sources.era5_exists"	"True"	"NO"	"NO"	"NO"	"0"
"meta.smoke_route_detected_sources.parquet_zip_count"	"2"	"NO"	"NO"	"NO"	"0"
"meta.smoke_route_detected_sources.parquet_zip_paths[0]"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2017.zip"	"YES"	"YES"	"NO"	"294156"
"meta.smoke_route_detected_sources.parquet_zip_paths[1]"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2022.zip"	"YES"	"YES"	"NO"	"379220"
