"key"	"value"
"Decision"	"HOLD_OR_NO_GO_SMOKE_DECODER_SOURCE_CONTRACT_REVIEWED"
"Classification"	"NO_2023_2024_ALL_ZERO_PATTERN_DETECTED_BY_THIS_AUDIT"
"Output2023AllZero"	"False"
"Output2024AllZero"	"False"
"ArtifactRoutePrimaryReal"	"True"
"ArtifactDecoderAvailable"	"True"
"ArtifactSmokeRouteBlocked"	"True"
"ArtifactBlockedForCausalClaim"	"True"
"SourceHasReadParquet"	"False"
"SourceHasParquet"	"True"
"SourceHasGFAS"	"True"
"SourceHasERA5"	"True"
"SourceHasGRIB"	"True"
"SourceHasCfgrib"	"False"
"SourceHasEccodes"	"True"
"SourceHasGdal"	"True"
"SourceHasXarray"	"False"
"SourceHasOutputProducerRefs"	"True"
