"file"	"rel_file"	"line"	"token"	"text"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"	"qa\inputs_resolved.json"	"3"	"2024"	"""nuts3"": ""D:\\Mestrado\\GATA_2025_2026\\Prueba_aislada\\ISO_GATA_20260121_130505\\Complementariedad de analisis\\Module C\\Datos\\01_std\\admin\\nuts3\\ADMIN_NUTS__EUROSTAT__NUTS_LEVL3__PT__2024__epsg4326__v1.geojson"","
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"	"qa\inputs_resolved.json"	"4"	"2024"	"""municipios_caop"": ""D:\\Mestrado\\GATA_2025_2026\\Prueba_aislada\\ISO_GATA_20260121_130505\\Complementariedad de analisis\\Module C\\Datos\\01_std\\admin\\municipios\\ADMIN_CAOP__DGT__CAOP_MUNI__PT_CONT__2024__epsgUNK__v1.zip"","
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"	"qa\inputs_resolved.json"	"5"	"parquet"	"""smoke_csv"": ""D:\\Mestrado\\GATA_2025_2026\\Prueba_aislada\\ISO_GATA_20260121_130505\\Complementariedad de analisis\\Module C\\Datos\\ParquetFiles 2022.zip"","
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"	"qa\inputs_resolved.json"	"21"	"2023"	"""D:\\Mestrado\\GATA_2025_2026\\Prueba_aislada\\ISO_GATA_20260121_130505\\Incendios_Nueva version\\WRB\\outputs_qgis_WRB_overlay\\ardida_2023_TM06.gpkg"","
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"	"qa\inputs_resolved.json"	"22"	"2024"	"""D:\\Mestrado\\GATA_2025_2026\\Prueba_aislada\\ISO_GATA_20260121_130505\\Incendios_Nueva version\\WRB\\outputs_qgis_WRB_overlay\\ardida_2024_TM06.gpkg"""
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"	"qa\inputs_resolved.json"	"25"	"GFAS"	"""smoke_gfas_dir"": ""D:\\Mestrado\\GATA_2025_2026\\Prueba_aislada\\ISO_GATA_20260121_130505\\Complementariedad de analisis\\Module C\\Datos\\CAM-GFAS (ADS)"","
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"	"qa\inputs_resolved.json"	"26"	"ERA5"	"""smoke_era5_zip"": ""D:\\Mestrado\\GATA_2025_2026\\Prueba_aislada\\ISO_GATA_20260121_130505\\Complementariedad de analisis\\Module C\\Datos\\ERA5_d016a6f04c5e420341cf0e7293fcfb56.zip"""
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"	"qa\inputs_resolved.json"	"29"	"v0_gfas_era5_real"	"""smoke_route_mode"": ""v0_gfas_era5_real"","
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"	"qa\inputs_resolved.json"	"29"	"GFAS"	"""smoke_route_mode"": ""v0_gfas_era5_real"","
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"	"qa\inputs_resolved.json"	"29"	"ERA5"	"""smoke_route_mode"": ""v0_gfas_era5_real"","
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"	"qa\inputs_resolved.json"	"30"	"v0_gfas_era5_real"	"""smoke_route_selected"": ""v0_gfas_era5_real"","
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"	"qa\inputs_resolved.json"	"30"	"GFAS"	"""smoke_route_selected"": ""v0_gfas_era5_real"","
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"	"qa\inputs_resolved.json"	"30"	"ERA5"	"""smoke_route_selected"": ""v0_gfas_era5_real"","
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"	"qa\inputs_resolved.json"	"31"	"SCIENTIFIC_PRIMARY_REAL"	"""smoke_route_status"": ""SCIENTIFIC_PRIMARY_REAL"","
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"	"qa\inputs_resolved.json"	"38"	"decoder"	"""required_decoder"": """","
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"	"qa\inputs_resolved.json"	"40"	"GFAS"	"""smoke_route_reason"": ""GFAS + ERA5 detected and decoder is available."","
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"	"qa\inputs_resolved.json"	"40"	"ERA5"	"""smoke_route_reason"": ""GFAS + ERA5 detected and decoder is available."","
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"	"qa\inputs_resolved.json"	"40"	"decoder"	"""smoke_route_reason"": ""GFAS + ERA5 detected and decoder is available."","
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"	"qa\inputs_resolved.json"	"47"	"GFAS"	"""gfas_dir"": ""D:\\Mestrado\\GATA_2025_2026\\Prueba_aislada\\ISO_GATA_20260121_130505\\Complementariedad de analisis\\Module C\\Datos\\CAM-GFAS (ADS)"","
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"	"qa\inputs_resolved.json"	"48"	"GFAS"	"""gfas_grib_count"": 11,"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"	"qa\inputs_resolved.json"	"49"	"GFAS"	"""gfas_total_bytes"": 151295670396,"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"	"qa\inputs_resolved.json"	"50"	"ERA5"	"""era5_zip"": ""D:\\Mestrado\\GATA_2025_2026\\Prueba_aislada\\ISO_GATA_20260121_130505\\Complementariedad de analisis\\Module C\\Datos\\ERA5_d016a6f04c5e420341cf0e7293fcfb56.zip"","
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"	"qa\inputs_resolved.json"	"51"	"ERA5"	"""era5_exists"": true,"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"	"qa\inputs_resolved.json"	"52"	"parquet"	"""parquet_zip_count"": 2,"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"	"qa\inputs_resolved.json"	"53"	"parquet"	"""parquet_zip_paths"": ["
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"	"qa\inputs_resolved.json"	"54"	"parquet"	"""D:\\Mestrado\\GATA_2025_2026\\Prueba_aislada\\ISO_GATA_20260121_130505\\Complementariedad de analisis\\Module C\\Datos\\ParquetFiles 2017.zip"","
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\inputs_resolved.json"	"qa\inputs_resolved.json"	"55"	"parquet"	"""D:\\Mestrado\\GATA_2025_2026\\Prueba_aislada\\ISO_GATA_20260121_130505\\Complementariedad de analisis\\Module C\\Datos\\ParquetFiles 2022.zip"""
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\run_log.txt"	"qa\run_log.txt"	"24"	"NO-GO_SCIENTIFIC_THRESHOLD"	"[2026-05-31T09:30:44] scientific threshold gate reports NO-GO_SCIENTIFIC_THRESHOLD"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"	"qa\smoke_route_audit.tsv"	"2"	"v0_gfas_era5_real"	"2015	4	gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"	"qa\smoke_route_audit.tsv"	"2"	"SCIENTIFIC_PRIMARY_REAL"	"2015	4	gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"	"qa\smoke_route_audit.tsv"	"2"	"GFAS"	"2015	4	gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
