"token"	"hit_count"	"file_count"	"blocks_sample"	"files_sample"
"read_parquet"	"0"	"0"	""	""
"parquet"	"48"	"6"	"def _collect_primary_smoke_anchors | def _fill_smoke_year_series | def write_gfas_era5_presence_audit | def _write_warning_inventory | def smoke_prepare | def evaluate_output_root | def evaluate_smoke_route_trace | def add_evidence"	"pipeline\moduleC_pipeline_v2.py | pipeline\qa_gate_v2.py | pipeline\scientific_threshold_gate.py | pipeline\smoke_route_selector.py | pipeline\validate_modulec_objectives_canon.py | pipeline\RUN_QGIS\STEP7_MATRIZ_CAUSAL\step7_matriz_causal.py"
"zipfile"	"24"	"4"	"def _r7q_patched_parse_args | def resolve_raster_source | def _collect_primary_smoke_anchors | def build_manifest_and_zip | GLOBAL | def _check_step9_zip_contents | def pick_inner_vector | def main"	"pipeline\moduleC_pipeline_v2.py | pipeline\validate_modulec_objectives_canon.py | pipeline\RUN_QGIS\qgis_step5_municipios_caop.py | pipeline\RUN_QGIS\STEP7_MATRIZ_CAUSAL\step7_matriz_causal.py"
"ZipFile"	"24"	"4"	"def _r7q_patched_parse_args | def resolve_raster_source | def _collect_primary_smoke_anchors | def build_manifest_and_zip | GLOBAL | def _check_step9_zip_contents | def pick_inner_vector | def main"	"pipeline\moduleC_pipeline_v2.py | pipeline\validate_modulec_objectives_canon.py | pipeline\RUN_QGIS\qgis_step5_municipios_caop.py | pipeline\RUN_QGIS\STEP7_MATRIZ_CAUSAL\step7_matriz_causal.py"
"gfas"	"218"	"4"	"def _derive_unit_anchor_scores_from_xyz | def write_spatial_collapse_root_cause_audit | def add_row | def write_smoke_route_source_trace_audit | def write_gfas_era5_presence_audit | def write_gfas_era5_decoder_audit | def _capture_warning_rows | def _extract_first_message_by_next_grib"	"pipeline\moduleC_pipeline_v2.py | pipeline\scientific_threshold_gate.py | pipeline\smoke_route_selector.py | pipeline\validate_modulec_objectives_canon.py"
"GFAS"	"218"	"4"	"def _derive_unit_anchor_scores_from_xyz | def write_spatial_collapse_root_cause_audit | def add_row | def write_smoke_route_source_trace_audit | def write_gfas_era5_presence_audit | def write_gfas_era5_decoder_audit | def _capture_warning_rows | def _extract_first_message_by_next_grib"	"pipeline\moduleC_pipeline_v2.py | pipeline\scientific_threshold_gate.py | pipeline\smoke_route_selector.py | pipeline\validate_modulec_objectives_canon.py"
"era5"	"176"	"4"	"def write_smoke_route_source_trace_audit | def write_gfas_era5_presence_audit | def write_gfas_era5_decoder_audit | def _smoke_route_v0_audit_rows | def decode_gfas_era5_gdal_proxy | def _write_warning_inventory | def smoke_prepare | def _scen_mean"	"pipeline\moduleC_pipeline_v2.py | pipeline\scientific_threshold_gate.py | pipeline\smoke_route_selector.py | pipeline\validate_modulec_objectives_canon.py"
"ERA5"	"176"	"4"	"def write_smoke_route_source_trace_audit | def write_gfas_era5_presence_audit | def write_gfas_era5_decoder_audit | def _smoke_route_v0_audit_rows | def decode_gfas_era5_gdal_proxy | def _write_warning_inventory | def smoke_prepare | def _scen_mean"	"pipeline\moduleC_pipeline_v2.py | pipeline\scientific_threshold_gate.py | pipeline\smoke_route_selector.py | pipeline\validate_modulec_objectives_canon.py"
"grib"	"52"	"2"	"def write_gfas_era5_presence_audit | def write_gfas_era5_decoder_audit | def _extract_first_message_by_next_grib | def _write_warning_inventory | def detect_smoke_sources | def select_smoke_route | def apply_route_meta"	"pipeline\moduleC_pipeline_v2.py | pipeline\smoke_route_selector.py"
"GRIB"	"52"	"2"	"def write_gfas_era5_presence_audit | def write_gfas_era5_decoder_audit | def _extract_first_message_by_next_grib | def _write_warning_inventory | def detect_smoke_sources | def select_smoke_route | def apply_route_meta"	"pipeline\moduleC_pipeline_v2.py | pipeline\smoke_route_selector.py"
"cfgrib"	"0"	"0"	""	""
"eccodes"	"2"	"1"	"def _smoke_route_v0_audit_rows"	"pipeline\moduleC_pipeline_v2.py"
"gdal"	"52"	"3"	"def _bootstrap_qgis_env | def write_layer_to_gpkg | def add_row | def write_gfas_era5_decoder_audit | def _resolve_gdal_tool | def _smoke_route_v0_audit_rows | def decode_gfas_era5_gdal_proxy | def _write_warning_inventory"	"pipeline\moduleC_pipeline_v2.py | pipeline\run_preflight_bootstrap.py | pipeline\RUN_QGIS\STEP7_MATRIZ_CAUSAL\step7_matriz_causal.py"
"xarray"	"0"	"0"	""	""
"smoke_days_unit_2015_2024"	"18"	"7"	"def smoke_prepare | def iech_compute | def scenarios_compute | def brief_generate | def build_phase10_causal_and_closure_artifacts | def write_runtime_closure_decision_from_current_runtime | GLOBAL | def evaluate_smoke_spatial"	"pipeline\moduleC_pipeline_v2.py | pipeline\qa_gate_v2.py | pipeline\scientific_threshold_gate.py | pipeline\validate_modulec_objectives_canon.py | pipeline\RUN_QGIS\qgis_build_products.py | pipeline\RUN_QGIS\STEP7_MATRIZ_CAUSAL\patch_inputs_resolved_step7.py | pipeline\RUN_QGIS\STEP7_MATRIZ_CAUSAL\step7_matriz_causal.py"
"smoke_days_nuts3_annual_2015_2024"	"1"	"1"	"def smoke_prepare"	"pipeline\moduleC_pipeline_v2.py"
"smoke_days_municipio_2015_2024"	"2"	"2"	"GLOBAL | def main"	"pipeline\validate_modulec_objectives_canon.py | pipeline\RUN_QGIS\STEP7_MATRIZ_CAUSAL\step7_matriz_causal.py"
"smoke_day_score_nuts3_daily"	"2"	"1"	"def smoke_prepare | def main"	"pipeline\moduleC_pipeline_v2.py"
"v0_gfas_era5_real"	"12"	"3"	"def write_gfas_era5_decoder_audit | def smoke_prepare | def evaluate_smoke_route_trace | def add_evidence | GLOBAL | def select_smoke_route"	"pipeline\moduleC_pipeline_v2.py | pipeline\scientific_threshold_gate.py | pipeline\smoke_route_selector.py"
"SCIENTIFIC_PRIMARY_REAL"	"1"	"1"	"def select_smoke_route"	"pipeline\smoke_route_selector.py"
"GFAS + ERA5 detected and decoder is available"	"1"	"1"	"def select_smoke_route"	"pipeline\smoke_route_selector.py"
"SMOKE_ROUTE_BLOCKED"	"7"	"1"	"def build_causal_matrix | def main"	"pipeline\RUN_QGIS\STEP7_MATRIZ_CAUSAL\step7_matriz_causal.py"
"BLOCKED_FOR_CAUSAL_CLAIM"	"3"	"2"	"def evaluate_causal_matrix | def audit_brief_claims | def build_causal_matrix"	"pipeline\scientific_threshold_gate.py | pipeline\RUN_QGIS\STEP7_MATRIZ_CAUSAL\step7_matriz_causal.py"
