"file"	"rel_file"	"line"	"block"	"token"	"text"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"237"	"def _r7q_patched_parse_args"	"zipfile"	"import zipfile"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"237"	"def _r7q_patched_parse_args"	"ZipFile"	"import zipfile"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"312"	"def resolve_raster_source"	"zipfile"	"with zipfile.ZipFile(src, ""r"") as zf:"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"312"	"def resolve_raster_source"	"ZipFile"	"with zipfile.ZipFile(src, ""r"") as zf:"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"490"	"def _bootstrap_qgis_env"	"gdal"	"os.environ.setdefault(""GDAL_DATA"", r""C:\OSGeo4W64\apps\gdal\share\gdal"")"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"637"	"def write_layer_to_gpkg"	"gdal"	"msg = msg or ""Unknown GDAL/OGR error (possible lock or permissions)."""
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"664"	"def _bisect_admin_prepare"	"2024"	"write_layer_to_gpkg(layer, gpkg_path, ""admin_nuts3_2024"", report)"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"677"	"def _build_inputs_from_master_catalog"	"inputs_resolved"	"report.fail(f""inputs_resolved.json missing and catalog missing: {catalog}"")"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"713"	"def _build_inputs_from_master_catalog"	"inputs_resolved"	"report.log(f""inputs_resolved.json synthesized from catalog: {catalog}"")"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"722"	"def load_inputs"	"inputs_resolved"	"report.log(f""inputs_resolved.json created at: {inputs_path}"")"
