"artifact"	"exists"	"bytes"	"year"	"metric"	"rows"	"numeric_values"	"distinct_values"	"min"	"max"	"nonzero_count"	"finding"	"path"
"smoke_days_unit"	"YES"	"18134"	"2015"	"smoke_days"	"26"	"26"	"4"	"0"	"136.792321359103"	"4"	"VARIED"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"smoke_days_unit"	"YES"	"18134"	"2016"	"smoke_days"	"26"	"26"	"4"	"0"	"119.116966013078"	"4"	"VARIED"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"smoke_days_unit"	"YES"	"18134"	"2017"	"smoke_days"	"26"	"26"	"4"	"0"	"101.441610667052"	"4"	"VARIED"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"smoke_days_unit"	"YES"	"18134"	"2018"	"smoke_days"	"26"	"26"	"4"	"0"	"83.7662553210272"	"4"	"VARIED"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"smoke_days_unit"	"YES"	"18134"	"2019"	"smoke_days"	"26"	"26"	"4"	"0"	"66.0908999750021"	"4"	"VARIED"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"smoke_days_unit"	"YES"	"18134"	"2020"	"smoke_days"	"26"	"26"	"4"	"0"	"48.4155446289769"	"4"	"VARIED"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"smoke_days_unit"	"YES"	"18134"	"2021"	"smoke_days"	"26"	"26"	"4"	"0"	"30.7401892829517"	"4"	"VARIED"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"smoke_days_unit"	"YES"	"18134"	"2022"	"smoke_days"	"26"	"26"	"2"	"0"	"13.0648339369266"	"2"	"VARIED"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"smoke_days_unit"	"YES"	"18134"	"2023"	"smoke_days"	"26"	"26"	"1"	"0"	"0"	"0"	"ALL_ZERO"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"smoke_days_unit"	"YES"	"18134"	"2024"	"smoke_days"	"26"	"26"	"1"	"0"	"0"	"0"	"ALL_ZERO"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"smoke_days_unit"	"YES"	"18134"	"2015"	"smoke_score_mean"	"26"	"0"	"0"	""	""	"0"	"NO_NUMERIC_VALUES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
