"function"	"found"	"start_line"	"end_line"	"out_path"
"select_smoke_route"	"NO"	""	""	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8G_SMOKE_OUTPUT_VALUE_SOURCE_LINE_20260531_223717\source_snippet_select_smoke_route.txt"
"_collect_primary_smoke_anchors"	"YES"	"841"	"909"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8G_SMOKE_OUTPUT_VALUE_SOURCE_LINE_20260531_223717\source_snippet__collect_primary_smoke_anchors.txt"
"_fill_smoke_year_series"	"YES"	"910"	"960"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8G_SMOKE_OUTPUT_VALUE_SOURCE_LINE_20260531_223717\source_snippet__fill_smoke_year_series.txt"
"_derive_unit_anchor_scores_from_xyz"	"YES"	"1003"	"1070"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8G_SMOKE_OUTPUT_VALUE_SOURCE_LINE_20260531_223717\source_snippet__derive_unit_anchor_scores_from_xyz.txt"
"smoke_prepare"	"YES"	"1873"	"2032"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8G_SMOKE_OUTPUT_VALUE_SOURCE_LINE_20260531_223717\source_snippet_smoke_prepare.txt"
"write_gfas_era5_decoder_audit"	"YES"	"1400"	"1443"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8G_SMOKE_OUTPUT_VALUE_SOURCE_LINE_20260531_223717\source_snippet_write_gfas_era5_decoder_audit.txt"
"write_gfas_era5_presence_audit"	"YES"	"1387"	"1399"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8G_SMOKE_OUTPUT_VALUE_SOURCE_LINE_20260531_223717\source_snippet_write_gfas_era5_presence_audit.txt"
"write_smoke_route_source_trace_audit"	"YES"	"1365"	"1386"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8G_SMOKE_OUTPUT_VALUE_SOURCE_LINE_20260531_223717\source_snippet_write_smoke_route_source_trace_audit.txt"
"build_causal_matrix"	"NO"	""	""	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8G_SMOKE_OUTPUT_VALUE_SOURCE_LINE_20260531_223717\source_snippet_build_causal_matrix.txt"
"evaluate_causal_matrix"	"NO"	""	""	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8G_SMOKE_OUTPUT_VALUE_SOURCE_LINE_20260531_223717\source_snippet_evaluate_causal_matrix.txt"
