"year"	"rows"	"method"	"anchor_count"	"missing_flag"	"route_mode"	"route_status"	"decision"	"path"
"2015"	"1"	"gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors"	""	"0"	"v0_gfas_era5_real"	"SCIENTIFIC_PRIMARY_REAL"	"THRESHOLD_DEFINED_AS_INDEXED_METHOD"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"
"2016"	"1"	"gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors"	""	"0"	"v0_gfas_era5_real"	"SCIENTIFIC_PRIMARY_REAL"	"THRESHOLD_DEFINED_AS_INDEXED_METHOD"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"
"2017"	"1"	"gfas_pm2p5fire_gdal_unit_direct_year"	""	"0"	"v0_gfas_era5_real"	"SCIENTIFIC_PRIMARY_REAL"	"THRESHOLD_DEFINED_AS_INDEXED_METHOD"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"
"2018"	"1"	"gfas_pm2p5fire_gdal_unit_interpolated_from_anchors"	""	"0"	"v0_gfas_era5_real"	"SCIENTIFIC_PRIMARY_REAL"	"THRESHOLD_DEFINED_AS_INDEXED_METHOD"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"
"2019"	"1"	"gfas_pm2p5fire_gdal_unit_interpolated_from_anchors"	""	"0"	"v0_gfas_era5_real"	"SCIENTIFIC_PRIMARY_REAL"	"THRESHOLD_DEFINED_AS_INDEXED_METHOD"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"
"2020"	"1"	"gfas_pm2p5fire_gdal_unit_interpolated_from_anchors"	""	"0"	"v0_gfas_era5_real"	"SCIENTIFIC_PRIMARY_REAL"	"THRESHOLD_DEFINED_AS_INDEXED_METHOD"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"
"2021"	"1"	"gfas_pm2p5fire_gdal_unit_interpolated_from_anchors"	""	"0"	"v0_gfas_era5_real"	"SCIENTIFIC_PRIMARY_REAL"	"THRESHOLD_DEFINED_AS_INDEXED_METHOD"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"
"2022"	"1"	"gfas_pm2p5fire_gdal_unit_direct_year"	""	"0"	"v0_gfas_era5_real"	"SCIENTIFIC_PRIMARY_REAL"	"THRESHOLD_DEFINED_AS_INDEXED_METHOD"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"
"2023"	"1"	"gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors"	""	"1"	"v0_gfas_era5_real"	"SCIENTIFIC_PRIMARY_REAL"	"THRESHOLD_DEFINED_AS_INDEXED_METHOD"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"
"2024"	"1"	"gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors"	""	"1"	"v0_gfas_era5_real"	"SCIENTIFIC_PRIMARY_REAL"	"THRESHOLD_DEFINED_AS_INDEXED_METHOD"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"
