"key"	"exists"	"value"
"GitRoot"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS"
"Branch"	""	""
"CurrentHead"	""	"206d40c30c9799ce0da4fcbb9ceb1295e556bfdf"
"GitStatusRows"	""	"2"
"ActiveUnifiedRoot"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642"
"RepoCopyRoot"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY"
"RuntimeRoot"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3"
"OutputRoot"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs"
"SourcePath"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"
"AuditRoot"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8I_DECODER_CLAIM_IMPLEMENTATION_20260531_225031"
