"line"	"year"	"anchor_or_distinct_count"	"method"	"missing_flag_or_field"	"raw_text"
"2"	"2015"	"4"	"gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors"	"0"	"2015	4	gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"3"	"2016"	"4"	"gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors"	"0"	"2016	4	gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"4"	"2017"	"4"	"gfas_pm2p5fire_gdal_unit_direct_year"	"0"	"2017	4	gfas_pm2p5fire_gdal_unit_direct_year	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"5"	"2018"	"4"	"gfas_pm2p5fire_gdal_unit_interpolated_from_anchors"	"0"	"2018	4	gfas_pm2p5fire_gdal_unit_interpolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"6"	"2019"	"4"	"gfas_pm2p5fire_gdal_unit_interpolated_from_anchors"	"0"	"2019	4	gfas_pm2p5fire_gdal_unit_interpolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"7"	"2020"	"4"	"gfas_pm2p5fire_gdal_unit_interpolated_from_anchors"	"0"	"2020	4	gfas_pm2p5fire_gdal_unit_interpolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"8"	"2021"	"4"	"gfas_pm2p5fire_gdal_unit_interpolated_from_anchors"	"0"	"2021	4	gfas_pm2p5fire_gdal_unit_interpolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"9"	"2022"	"2"	"gfas_pm2p5fire_gdal_unit_direct_year"	"0"	"2022	2	gfas_pm2p5fire_gdal_unit_direct_year	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"10"	"2023"	"1"	"gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors"	"1"	"2023	1	gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors	1	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"11"	"2024"	"1"	"gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors"	"1"	"2024	1	gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors	1	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
