"function"	"token"	"count"
"_collect_primary_smoke_anchors"	"gdal.Open"	"0"
"_collect_primary_smoke_anchors"	"OpenEx"	"0"
"_collect_primary_smoke_anchors"	"ReadAsArray"	"0"
"_collect_primary_smoke_anchors"	"GetRasterBand"	"0"
"_collect_primary_smoke_anchors"	"GRIB"	"0"
"_collect_primary_smoke_anchors"	"grib"	"0"
"_collect_primary_smoke_anchors"	"eccodes"	"0"
"_collect_primary_smoke_anchors"	"cfgrib"	"0"
"_collect_primary_smoke_anchors"	"read_parquet"	"0"
"_collect_primary_smoke_anchors"	"pyarrow"	"0"
"_collect_primary_smoke_anchors"	"fastparquet"	"0"
"_collect_primary_smoke_anchors"	"ZipFile"	"1"
"_collect_primary_smoke_anchors"	"namelist"	"1"
"_collect_primary_smoke_anchors"	"primary_parquet"	"0"
"_collect_primary_smoke_anchors"	"direct_year"	"0"
"_collect_primary_smoke_anchors"	"interpolated_from_anchors"	"0"
"_collect_primary_smoke_anchors"	"extrapolated_from_anchors"	"0"
"_collect_primary_smoke_anchors"	"missing_flag"	"0"
"_collect_primary_smoke_anchors"	"smoke_missing_flag"	"0"
"_collect_primary_smoke_anchors"	"gfas_pm2p5fire_gdal"	"0"
"_collect_primary_smoke_anchors"	"decoder is available"	"0"
"_collect_primary_smoke_anchors"	"SCIENTIFIC_PRIMARY_REAL"	"0"
"_collect_primary_smoke_anchors"	"v0_gfas_era5_real"	"0"
"_fill_smoke_year_series"	"gdal.Open"	"0"
"_fill_smoke_year_series"	"OpenEx"	"0"
"_fill_smoke_year_series"	"ReadAsArray"	"0"
"_fill_smoke_year_series"	"GetRasterBand"	"0"
"_fill_smoke_year_series"	"GRIB"	"0"
"_fill_smoke_year_series"	"grib"	"0"
"_fill_smoke_year_series"	"eccodes"	"0"
"_fill_smoke_year_series"	"cfgrib"	"0"
"_fill_smoke_year_series"	"read_parquet"	"0"
"_fill_smoke_year_series"	"pyarrow"	"0"
"_fill_smoke_year_series"	"fastparquet"	"0"
"_fill_smoke_year_series"	"ZipFile"	"0"
"_fill_smoke_year_series"	"namelist"	"0"
"_fill_smoke_year_series"	"primary_parquet"	"6"
"_fill_smoke_year_series"	"direct_year"	"2"
"_fill_smoke_year_series"	"interpolated_from_anchors"	"1"
"_fill_smoke_year_series"	"extrapolated_from_anchors"	"2"
"_fill_smoke_year_series"	"missing_flag"	"0"
"_fill_smoke_year_series"	"smoke_missing_flag"	"0"
"_fill_smoke_year_series"	"gfas_pm2p5fire_gdal"	"0"
"_fill_smoke_year_series"	"decoder is available"	"0"
"_fill_smoke_year_series"	"SCIENTIFIC_PRIMARY_REAL"	"0"
"_fill_smoke_year_series"	"v0_gfas_era5_real"	"0"
"_derive_unit_anchor_scores_from_xyz"	"gdal.Open"	"0"
"_derive_unit_anchor_scores_from_xyz"	"OpenEx"	"0"
"_derive_unit_anchor_scores_from_xyz"	"ReadAsArray"	"0"
"_derive_unit_anchor_scores_from_xyz"	"GetRasterBand"	"0"
"_derive_unit_anchor_scores_from_xyz"	"GRIB"	"0"
"_derive_unit_anchor_scores_from_xyz"	"grib"	"0"
"_derive_unit_anchor_scores_from_xyz"	"eccodes"	"0"
"_derive_unit_anchor_scores_from_xyz"	"cfgrib"	"0"
"_derive_unit_anchor_scores_from_xyz"	"read_parquet"	"0"
"_derive_unit_anchor_scores_from_xyz"	"pyarrow"	"0"
"_derive_unit_anchor_scores_from_xyz"	"fastparquet"	"0"
"_derive_unit_anchor_scores_from_xyz"	"ZipFile"	"0"
"_derive_unit_anchor_scores_from_xyz"	"namelist"	"0"
"_derive_unit_anchor_scores_from_xyz"	"primary_parquet"	"0"
"_derive_unit_anchor_scores_from_xyz"	"direct_year"	"0"
"_derive_unit_anchor_scores_from_xyz"	"interpolated_from_anchors"	"0"
"_derive_unit_anchor_scores_from_xyz"	"extrapolated_from_anchors"	"0"
"_derive_unit_anchor_scores_from_xyz"	"missing_flag"	"0"
"_derive_unit_anchor_scores_from_xyz"	"smoke_missing_flag"	"0"
"_derive_unit_anchor_scores_from_xyz"	"gfas_pm2p5fire_gdal"	"0"
"_derive_unit_anchor_scores_from_xyz"	"decoder is available"	"0"
"_derive_unit_anchor_scores_from_xyz"	"SCIENTIFIC_PRIMARY_REAL"	"0"
"_derive_unit_anchor_scores_from_xyz"	"v0_gfas_era5_real"	"0"
"write_gfas_era5_presence_audit"	"gdal.Open"	"0"
"write_gfas_era5_presence_audit"	"OpenEx"	"0"
"write_gfas_era5_presence_audit"	"ReadAsArray"	"0"
"write_gfas_era5_presence_audit"	"GetRasterBand"	"0"
"write_gfas_era5_presence_audit"	"GRIB"	"0"
"write_gfas_era5_presence_audit"	"grib"	"3"
"write_gfas_era5_presence_audit"	"eccodes"	"0"
"write_gfas_era5_presence_audit"	"cfgrib"	"0"
"write_gfas_era5_presence_audit"	"read_parquet"	"0"
"write_gfas_era5_presence_audit"	"pyarrow"	"0"
"write_gfas_era5_presence_audit"	"fastparquet"	"0"
"write_gfas_era5_presence_audit"	"ZipFile"	"0"
"write_gfas_era5_presence_audit"	"namelist"	"0"
"write_gfas_era5_presence_audit"	"primary_parquet"	"0"
"write_gfas_era5_presence_audit"	"direct_year"	"0"
"write_gfas_era5_presence_audit"	"interpolated_from_anchors"	"0"
"write_gfas_era5_presence_audit"	"extrapolated_from_anchors"	"0"
