"label"	"file"	"line"	"pattern"	"text"
"scientific_threshold_gate.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\scientific_threshold_gate.py"	"173"	"BLOCKED_SPATIAL_SMOKE_CLAIM"	"""BLOCKED_SPATIAL_SMOKE_CLAIM"","
"scientific_threshold_gate.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\scientific_threshold_gate.py"	"234"	"v0_gfas_era5_real"	"if route_selected in (""v1_moduleA_validated"", ""v0_gfas_era5_real""):"
"scientific_threshold_gate.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\scientific_threshold_gate.py"	"248"	"BLOCKED_SPATIAL_SMOKE_CLAIM"	"""BLOCKED_SPATIAL_SMOKE_CLAIM"","
"scientific_threshold_gate.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\scientific_threshold_gate.py"	"328"	"BLOCKED_FOR_CAUSAL_CLAIM"	"return ""BLOCKED_FOR_CAUSAL_CLAIM"", ""Causal matrix has unresolved HOLD/missing/block rows"", metrics"
"scientific_threshold_gate.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\scientific_threshold_gate.py"	"338"	"BLOCKED_SPATIAL_SMOKE_CLAIM"	"""BLOCKED_SPATIAL_SMOKE_CLAIM"": [r""smoke hotspot"", r""spatially differentiated smoke exposure"", r""most exposed by smoke""],"
"scientific_threshold_gate.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\scientific_threshold_gate.py"	"341"	"BLOCKED_FOR_CAUSAL_CLAIM"	"""BLOCKED_FOR_CAUSAL_CLAIM"": [r""\bcauses\b"", r""\bdrives\b"", r""\bexplains\b""],"
"scientific_threshold_gate.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\scientific_threshold_gate.py"	"452"	"NO-GO_SCIENTIFIC_THRESHOLD"	"""NO-GO_SCIENTIFIC_THRESHOLD"","
"scientific_threshold_gate.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\scientific_threshold_gate.py"	"462"	"v0_gfas_era5_real"	"""priority=v1_moduleA_validated>v0_gfas_era5_real>BLOCKED_DECODER_REQUIRED>v0_parquet_proxy_degraded>NO-GO_SMOKE_ROUTE"","
"scientific_threshold_gate.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\scientific_threshold_gate.py"	"468"	"NO-GO_SCIENTIFIC_THRESHOLD"	"""NO-GO_SCIENTIFIC_THRESHOLD"" if route_status.startswith(""BLOCKED"") else ""NONE"","
"scientific_threshold_gate.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\scientific_threshold_gate.py"	"484"	"NO-GO_SCIENTIFIC_THRESHOLD"	"""NO-GO_SCIENTIFIC_THRESHOLD"" if smoke_status.startswith(""BLOCKED"") else ""NONE"","
"scientific_threshold_gate.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\scientific_threshold_gate.py"	"500"	"NO-GO_SCIENTIFIC_THRESHOLD"	"""NO-GO_SCIENTIFIC_THRESHOLD"" if health_status.startswith(""BLOCKED"") else ""NONE"","
"scientific_threshold_gate.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\scientific_threshold_gate.py"	"516"	"NO-GO_SCIENTIFIC_THRESHOLD"	"""NO-GO_SCIENTIFIC_THRESHOLD"" if pop_cancel_status.startswith(""BLOCKED"") else ""NONE"","
"scientific_threshold_gate.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\scientific_threshold_gate.py"	"532"	"NO-GO_SCIENTIFIC_THRESHOLD"	"""NO-GO_SCIENTIFIC_THRESHOLD"" if warning_status.startswith(""BLOCKED"") else ""NONE"","
"scientific_threshold_gate.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\scientific_threshold_gate.py"	"548"	"NO-GO_SCIENTIFIC_THRESHOLD"	"""NO-GO_SCIENTIFIC_THRESHOLD"" if iech_status.startswith(""BLOCKED"") else ""NONE"","
"scientific_threshold_gate.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\scientific_threshold_gate.py"	"564"	"NO-GO_SCIENTIFIC_THRESHOLD"	"""NO-GO_SCIENTIFIC_THRESHOLD"" if causal_status.startswith(""BLOCKED"") else ""NONE"","
"scientific_threshold_gate.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\scientific_threshold_gate.py"	"690"	"NO-GO_SCIENTIFIC_THRESHOLD"	"if ""NO-GO_SCIENTIFIC_THRESHOLD"" in scientific_effects:"
"scientific_threshold_gate.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\scientific_threshold_gate.py"	"691"	"NO-GO_SCIENTIFIC_THRESHOLD"	"scientific_decision = ""NO-GO_SCIENTIFIC_THRESHOLD"""
"scientific_threshold_gate.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\scientific_threshold_gate.py"	"725"	"NO-GO_SCIENTIFIC_THRESHOLD"	"# Decision may be NO-GO_SCIENTIFIC_THRESHOLD while operational closure remains analyzable."
"validate_modulec_objectives_canon.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\validate_modulec_objectives_canon.py"	"90"	"OC-09"	"""objective_id"": ""OC-09"","
"validate_modulec_objectives_canon.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\validate_modulec_objectives_canon.py"	"94"	"causal_matrix"	"""brief/causal_matrix/causal_matrix_IECH_NUTS3.csv"","
"validate_modulec_objectives_canon.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\validate_modulec_objectives_canon.py"	"95"	"causal_matrix"	"""brief/causal_matrix/causal_matrix_IECH_NUTS3.json"","
"validate_modulec_objectives_canon.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\validate_modulec_objectives_canon.py"	"96"	"causal_matrix"	"""brief/causal_matrix/causal_matrix_IECH_NUTS3.txt"","
"validate_modulec_objectives_canon.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\validate_modulec_objectives_canon.py"	"97"	"causal_matrix"	"""brief/causal_matrix/causal_matrix_IECH_municipio.csv"","
"validate_modulec_objectives_canon.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\validate_modulec_objectives_canon.py"	"98"	"causal_matrix"	"""brief/causal_matrix/causal_matrix_audit.tsv"","
"validate_modulec_objectives_canon.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\validate_modulec_objectives_canon.py"	"99"	"causal_matrix"	"""brief/causal_matrix/causal_matrix_sha256_checkpoints.txt"","
