"label"	"source"	"start_line"	"end_line"	"found"	"out_path"
"moduleC_smoke_anchor_and_series_830_1010"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"830"	"1010"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8K_PATCH_SOURCE_CONTEXT_BUNDLE_20260531_225835\source_context_snippets\moduleC_smoke_anchor_and_series_830_1010.txt"
"moduleC_xyz_and_decoder_audits_1000_1455"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1000"	"1455"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8K_PATCH_SOURCE_CONTEXT_BUNDLE_20260531_225835\source_context_snippets\moduleC_xyz_and_decoder_audits_1000_1455.txt"
"moduleC_grib_decoder_zone_1460_1805"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1460"	"1805"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8K_PATCH_SOURCE_CONTEXT_BUNDLE_20260531_225835\source_context_snippets\moduleC_grib_decoder_zone_1460_1805.txt"
"moduleC_smoke_prepare_1860_2050"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1860"	"2050"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8K_PATCH_SOURCE_CONTEXT_BUNDLE_20260531_225835\source_context_snippets\moduleC_smoke_prepare_1860_2050.txt"
"moduleC_iech_scenario_missing_flag_2280_2395"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"2280"	"2395"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8K_PATCH_SOURCE_CONTEXT_BUNDLE_20260531_225835\source_context_snippets\moduleC_iech_scenario_missing_flag_2280_2395.txt"
"moduleC_qa_missing_flag_3060_3125"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"3060"	"3125"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8K_PATCH_SOURCE_CONTEXT_BUNDLE_20260531_225835\source_context_snippets\moduleC_qa_missing_flag_3060_3125.txt"
"scientific_gate_smoke_rules_220_260"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\scientific_threshold_gate.py"	"220"	"260"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8K_PATCH_SOURCE_CONTEXT_BUNDLE_20260531_225835\source_context_snippets\scientific_gate_smoke_rules_220_260.txt"
"scientific_gate_decision_rows_440_575"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\scientific_threshold_gate.py"	"440"	"575"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8K_PATCH_SOURCE_CONTEXT_BUNDLE_20260531_225835\source_context_snippets\scientific_gate_decision_rows_440_575.txt"
"scientific_gate_final_decision_680_730"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\scientific_threshold_gate.py"	"680"	"730"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8K_PATCH_SOURCE_CONTEXT_BUNDLE_20260531_225835\source_context_snippets\scientific_gate_final_decision_680_730.txt"
"objective_gate_oc09_80_110"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\validate_modulec_objectives_canon.py"	"80"	"110"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8K_PATCH_SOURCE_CONTEXT_BUNDLE_20260531_225835\source_context_snippets\objective_gate_oc09_80_110.txt"
"objective_gate_oc09_check_270_370"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\validate_modulec_objectives_canon.py"	"270"	"370"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8K_PATCH_SOURCE_CONTEXT_BUNDLE_20260531_225835\source_context_snippets\objective_gate_oc09_check_270_370.txt"
