"function"	"found"	"start_line"	"end_line"	"out_path"
"_collect_primary_smoke_anchors"	"YES"	"839"	"921"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8K_PATCH_SOURCE_CONTEXT_BUNDLE_20260531_225835\source_context_snippets\_collect_primary_smoke_anchors.txt"
"_fill_smoke_year_series"	"YES"	"908"	"972"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8K_PATCH_SOURCE_CONTEXT_BUNDLE_20260531_225835\source_context_snippets\_fill_smoke_year_series.txt"
"_fill_smoke_year_series_relaxed"	"YES"	"959"	"1014"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8K_PATCH_SOURCE_CONTEXT_BUNDLE_20260531_225835\source_context_snippets\_fill_smoke_year_series_relaxed.txt"
"_derive_unit_anchor_scores_from_xyz"	"YES"	"1001"	"1082"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8K_PATCH_SOURCE_CONTEXT_BUNDLE_20260531_225835\source_context_snippets\_derive_unit_anchor_scores_from_xyz.txt"
"write_gfas_era5_presence_audit"	"YES"	"1385"	"1411"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8K_PATCH_SOURCE_CONTEXT_BUNDLE_20260531_225835\source_context_snippets\write_gfas_era5_presence_audit.txt"
"write_gfas_era5_decoder_audit"	"YES"	"1398"	"1455"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8K_PATCH_SOURCE_CONTEXT_BUNDLE_20260531_225835\source_context_snippets\write_gfas_era5_decoder_audit.txt"
"write_smoke_route_source_trace_audit"	"YES"	"1363"	"1398"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8K_PATCH_SOURCE_CONTEXT_BUNDLE_20260531_225835\source_context_snippets\write_smoke_route_source_trace_audit.txt"
"smoke_prepare"	"YES"	"1871"	"2044"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8K_PATCH_SOURCE_CONTEXT_BUNDLE_20260531_225835\source_context_snippets\smoke_prepare.txt"
"iech_compute"	"YES"	"2292"	"2372"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8K_PATCH_SOURCE_CONTEXT_BUNDLE_20260531_225835\source_context_snippets\iech_compute.txt"
"scenario_project"	"NO"	""	""	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8K_PATCH_SOURCE_CONTEXT_BUNDLE_20260531_225835\source_context_snippets\scenario_project.txt"
"qa_gate_v2"	"NO"	""	""	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8K_PATCH_SOURCE_CONTEXT_BUNDLE_20260531_225835\source_context_snippets\qa_gate_v2.txt"
"main"	"YES"	"2994"	"3197"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8K_PATCH_SOURCE_CONTEXT_BUNDLE_20260531_225835\source_context_snippets\main.txt"
