"token"	"count"
"gdal.Open"	"0"
"OpenEx"	"0"
"ReadAsArray"	"0"
"GetRasterBand"	"0"
"read_parquet"	"0"
"pyarrow"	"0"
"fastparquet"	"0"
"cfgrib"	"0"
"eccodes"	"2"
"ZipFile"	"3"
"namelist"	"1"
"primary_parquet"	"9"
"gfas_pm2p5fire_gdal"	"5"
"direct_year"	"4"
"interpolated_from_anchors"	"2"
"extrapolated_from_anchors"	"4"
"missing_flag"	"19"
"smoke_missing_flag"	"2"
"required_decoder"	"1"
"SCIENCE"	"0"
"SCIENTIFIC_PRIMARY_REAL"	"0"
"v0_gfas_era5_real"	"8"
"decoder is available"	"0"
"gfas_grib_count"	"7"
"edge_summary"	"6"
"_grib_edge_summary"	"2"
"message1"	"2"
"negative_lon"	"3"
