"key"	"value"
"Decision"	"NO_GO_PATCH_ANCHOR_MISSING_DO_NOT_RUNTIME"
"Classification"	"PATCH_EXPECTED_ANCHORS_NOT_FOUND"
"PyCompileStatus"	"PASS"
"PyCompileExit"	"0"
"HelperCount"	"1"
"SmokePrepareCallCount"	"0"
"SciGateChanged"	"False"
"ObjGateChanged"	"False"
"GitDiffPath"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8N_POST_PATCH_STATIC_VERIFY_20260531_231013\git_diff_after_10D8M_patch.txt"
"AuditRoot"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8N_POST_PATCH_STATIC_VERIFY_20260531_231013"
