"check"	"status"	"value"
"helper_def_inserted"	"PASS"	"1"
"helper_marker_present"	"PASS"	"2"
"smoke_prepare_call_full_signature"	"PASS"	"1"
"smoke_prepare_call_any"	"PASS"	"1"
"smoke_prepare_call_marker"	"PASS"	"2"
"call_inside_smoke_prepare"	"PASS"	"YES"
"helper_before_smoke_prepare"	"PASS"	"YES"
"v0_gfas_era5_real_token_present"	"PASS"	"10"
"required_decoder_token_present"	"PASS"	"11"
"scientific_gate_no_go_tokens_preserved"	"PASS"	"11"
"source_sha256"	"INFO"	"7486E589726C04613629745E16334DFE1CC870D197A14CFA804EE5812EC48D00"
