"key"	"exists"	"value"
"GitRoot"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS"
"Branch"	""	"main"
"CurrentHead"	""	"206d40c30c9799ce0da4fcbb9ceb1295e556bfdf"
"GitStatusRows"	""	"2"
"ActiveUnifiedRoot"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642"
"RepoCopyRoot"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY"
"SourcePath"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"
"SciGatePath"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\scientific_threshold_gate.py"
"ObjGatePath"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\validate_modulec_objectives_canon.py"
"AuditRoot"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8N_V3_POST_PATCH_STATIC_VERIFY_20260531_231502"
