unit_id;dominant_wrb_class;dominant_wrb_share;top_wrb_classes;wrb_context_note;wrb_source;wrb_missing_flag
PT111;Cambisols;0.988966;Cambisols:0.989|Luvisols:0.011;"Contexto edafico territorial (WRB) sobre admin_unit ? annual_burned_area ? WRB_working_TM06_from_tiles; no causal directo.";D:\GATA_MODULEC_UNIFIED_PROCESS\_wrb_prevalidation_runtime_2022\_step7_work\wrb_source_route\WRB_working_TM06_from_tiles.tif;0
PT112;Cambisols;1.000000;Cambisols:1.000;"Contexto edafico territorial (WRB) sobre admin_unit ? annual_burned_area ? WRB_working_TM06_from_tiles; no causal directo.";D:\GATA_MODULEC_UNIFIED_PROCESS\_wrb_prevalidation_runtime_2022\_step7_work\wrb_source_route\WRB_working_TM06_from_tiles.tif;0
PT119;Cambisols;0.989914;Cambisols:0.990|Leptosols:0.007|Luvisols:0.003;"Contexto edafico territorial (WRB) sobre admin_unit ? annual_burned_area ? WRB_working_TM06_from_tiles; no causal directo.";D:\GATA_MODULEC_UNIFIED_PROCESS\_wrb_prevalidation_runtime_2022\_step7_work\wrb_source_route\WRB_working_TM06_from_tiles.tif;0
PT11A;Cambisols;0.905882;Cambisols:0.906|Luvisols:0.094;"Contexto edafico territorial (WRB) sobre admin_unit ? annual_burned_area ? WRB_working_TM06_from_tiles; no causal directo.";D:\GATA_MODULEC_UNIFIED_PROCESS\_wrb_prevalidation_runtime_2022\_step7_work\wrb_source_route\WRB_working_TM06_from_tiles.tif;0
PT11B;Cambisols;0.975767;Cambisols:0.976|Luvisols:0.023|Leptosols:0.002;"Contexto edafico territorial (WRB) sobre admin_unit ? annual_burned_area ? WRB_working_TM06_from_tiles; no causal directo.";D:\GATA_MODULEC_UNIFIED_PROCESS\_wrb_prevalidation_runtime_2022\_step7_work\wrb_source_route\WRB_working_TM06_from_tiles.tif;0
PT11C;Cambisols;0.990698;Cambisols:0.991|Leptosols:0.005|Luvisols:0.005;"Contexto edafico territorial (WRB) sobre admin_unit ? annual_burned_area ? WRB_working_TM06_from_tiles; no causal directo.";D:\GATA_MODULEC_UNIFIED_PROCESS\_wrb_prevalidation_runtime_2022\_step7_work\wrb_source_route\WRB_working_TM06_from_tiles.tif;0
PT11D;Cambisols;0.980484;Cambisols:0.980|Luvisols:0.018|Leptosols:0.001;"Contexto edafico territorial (WRB) sobre admin_unit ? annual_burned_area ? WRB_working_TM06_from_tiles; no causal directo.";D:\GATA_MODULEC_UNIFIED_PROCESS\_wrb_prevalidation_runtime_2022\_step7_work\wrb_source_route\WRB_working_TM06_from_tiles.tif;0
PT11E;Cambisols;0.968254;Cambisols:0.968|Luvisols:0.032;"Contexto edafico territorial (WRB) sobre admin_unit ? annual_burned_area ? WRB_working_TM06_from_tiles; no causal directo.";D:\GATA_MODULEC_UNIFIED_PROCESS\_wrb_prevalidation_runtime_2022\_step7_work\wrb_source_route\WRB_working_TM06_from_tiles.tif;0
PT150;Luvisols;0.891117;Luvisols:0.891|Cambisols:0.086|Vertisols:0.011|Fluvisols:0.006|Phaeozems:0.006;"Contexto edafico territorial (WRB) sobre admin_unit ? annual_burned_area ? WRB_working_TM06_from_tiles; no causal directo.";D:\GATA_MODULEC_UNIFIED_PROCESS\_wrb_prevalidation_runtime_2022\_step7_work\wrb_source_route\WRB_working_TM06_from_tiles.tif;0
PT191;Cambisols;0.984095;Cambisols:0.984|Acrisols:0.014|Luvisols:0.002;"Contexto edafico territorial (WRB) sobre admin_unit ? annual_burned_area ? WRB_working_TM06_from_tiles; no causal directo.";D:\GATA_MODULEC_UNIFIED_PROCESS\_wrb_prevalidation_runtime_2022\_step7_work\wrb_source_route\WRB_working_TM06_from_tiles.tif;0
