unit_id;dominant_wrb_class;dominant_wrb_share;top_wrb_classes;wrb_context_note;wrb_source;wrb_missing_flag
PT111;Cambisols;0.984069;Cambisols:0.984|Luvisols:0.011|Acrisols:0.004|Leptosols:0.001;"Contexto edafico territorial (WRB) sobre admin_unit ∩ annual_burned_area ∩ WRB_working_TM06_from_tiles; no causal directo.";D:\GATA_MODULEC_UNIFIED_PROCESS\_wrb_prevalidation_runtime_nuts\_step7_work\wrb_source_route\WRB_working_TM06_from_tiles.vrt;0
PT112;Cambisols;0.989444;Cambisols:0.989|Luvisols:0.008|Leptosols:0.001|Acrisols:0.001;"Contexto edafico territorial (WRB) sobre admin_unit ∩ annual_burned_area ∩ WRB_working_TM06_from_tiles; no causal directo.";D:\GATA_MODULEC_UNIFIED_PROCESS\_wrb_prevalidation_runtime_nuts\_step7_work\wrb_source_route\WRB_working_TM06_from_tiles.vrt;0
PT119;Cambisols;0.989870;Cambisols:0.990|Luvisols:0.007|Leptosols:0.003;"Contexto edafico territorial (WRB) sobre admin_unit ∩ annual_burned_area ∩ WRB_working_TM06_from_tiles; no causal directo.";D:\GATA_MODULEC_UNIFIED_PROCESS\_wrb_prevalidation_runtime_nuts\_step7_work\wrb_source_route\WRB_working_TM06_from_tiles.vrt;0
PT11A;Cambisols;0.981529;Cambisols:0.982|Luvisols:0.016|Leptosols:0.002|Acrisols:0.001;"Contexto edafico territorial (WRB) sobre admin_unit ∩ annual_burned_area ∩ WRB_working_TM06_from_tiles; no causal directo.";D:\GATA_MODULEC_UNIFIED_PROCESS\_wrb_prevalidation_runtime_nuts\_step7_work\wrb_source_route\WRB_working_TM06_from_tiles.vrt;0
PT11B;Cambisols;0.987021;Cambisols:0.987|Luvisols:0.010|Leptosols:0.003;"Contexto edafico territorial (WRB) sobre admin_unit ∩ annual_burned_area ∩ WRB_working_TM06_from_tiles; no causal directo.";D:\GATA_MODULEC_UNIFIED_PROCESS\_wrb_prevalidation_runtime_nuts\_step7_work\wrb_source_route\WRB_working_TM06_from_tiles.vrt;0
PT11C;Cambisols;0.988104;Cambisols:0.988|Luvisols:0.008|Leptosols:0.004;"Contexto edafico territorial (WRB) sobre admin_unit ∩ annual_burned_area ∩ WRB_working_TM06_from_tiles; no causal directo.";D:\GATA_MODULEC_UNIFIED_PROCESS\_wrb_prevalidation_runtime_nuts\_step7_work\wrb_source_route\WRB_working_TM06_from_tiles.vrt;0
PT11D;Cambisols;0.967982;Cambisols:0.968|Luvisols:0.031|Leptosols:0.001;"Contexto edafico territorial (WRB) sobre admin_unit ∩ annual_burned_area ∩ WRB_working_TM06_from_tiles; no causal directo.";D:\GATA_MODULEC_UNIFIED_PROCESS\_wrb_prevalidation_runtime_nuts\_step7_work\wrb_source_route\WRB_working_TM06_from_tiles.vrt;0
PT11E;Cambisols;0.959744;Cambisols:0.960|Luvisols:0.040|Leptosols:0.000;"Contexto edafico territorial (WRB) sobre admin_unit ∩ annual_burned_area ∩ WRB_working_TM06_from_tiles; no causal directo.";D:\GATA_MODULEC_UNIFIED_PROCESS\_wrb_prevalidation_runtime_nuts\_step7_work\wrb_source_route\WRB_working_TM06_from_tiles.vrt;0
PT150;Luvisols;0.848344;Luvisols:0.848|Cambisols:0.149|Vertisols:0.001|Kastanozems:0.001|Phaeozems:0.001;"Contexto edafico territorial (WRB) sobre admin_unit ∩ annual_burned_area ∩ WRB_working_TM06_from_tiles; no causal directo.";D:\GATA_MODULEC_UNIFIED_PROCESS\_wrb_prevalidation_runtime_nuts\_step7_work\wrb_source_route\WRB_working_TM06_from_tiles.vrt;0
PT191;Cambisols;0.986391;Cambisols:0.986|Luvisols:0.010|Acrisols:0.003;"Contexto edafico territorial (WRB) sobre admin_unit ∩ annual_burned_area ∩ WRB_working_TM06_from_tiles; no causal directo.";D:\GATA_MODULEC_UNIFIED_PROCESS\_wrb_prevalidation_runtime_nuts\_step7_work\wrb_source_route\WRB_working_TM06_from_tiles.vrt;0
